Data,Nota,Texto,ID_Usuario,ID_Avaliacao
2025-10-21 19:03:23,3,"""escute agora meia hora sem interrupções"" corta pra próxima música tendo 4 comerciais em 1 faixa tocada.",Natasha Carolina (Elfa),2893d619-4553-4e68-aa76-4b170375c54d
2025-10-21 18:59:09,2,Acho muito ruim o fato de ter anúncio. Nós não podemos escolher uma música que logo em seguida tem anúncio e agora você precisa assistir um anúncio para entrar no Spotify. Acho que com esse tanto de anúncio fica chato. E eu acho que vocês deviam voltar com o Spotify Free por 3 meses de graça. Passar bem para quem tá lendo.,Olivia,4275b1c1-38ae-4060-acf7-12b6f071716f
2025-10-21 18:52:40,5,muito bom uso todo dia,fabio vargas,fb52f361-562c-4b2f-afe6-676492ccec09
2025-10-21 18:44:09,5,amei.....😍😍😍😍,Ju Flor,99e0f888-3975-418d-9dea-6ff15eeb9ca7
2025-10-21 18:40:42,1,Mesmo pagando o premium eu sigo tendo anúncios.,Nerisson Dias (Neo),442f3f51-1b9b-4856-bad6-bc3879cec1a3
2025-10-21 18:28:13,5,muito bom,Joao Viegasvasconcellos,577e3084-9553-4805-9643-37611b32d54c
2025-10-21 18:26:40,3,"É o aplicativo de música mais famoso, mas gosto de coisa grátis.",Felipe Combinações,a2039b7a-ee3f-4906-a0ec-e1d9e4c7b9c9
2025-10-21 18:26:27,4,top de mais,Paulo edson abreu,9d484bb8-3218-47d2-a54d-dde3cbc17a4f
2025-10-21 18:23:40,5,amei as pessoas que o que você mim por favor não responda para o dia Pai que não é a mesma que você,Beyonce Dokota,5ac678c6-6ecb-4040-b6ef-855b313aaa9d
2025-10-21 18:21:07,4,muito bom o Spotify,Jenilson Treinamentos,80168f37-c617-4354-803c-21ed082be671
2025-10-21 18:12:55,3,muito bom,Rogerio Dalmo,dd58ca24-b3d9-428c-8f2b-45d5d72e9f3c
2025-10-21 18:07:20,5,Bom,Sandra Santos,dc39e07f-b62b-4e0c-8f9b-c2159bc7ede3
2025-10-21 18:06:12,2,tá precisando de dinheiro pra ter tanto anúncio,Emy,e9108ac8-4640-4105-811c-bc786cde301e
2025-10-21 18:03:59,5,Demorando HORRORES pra abrir. No computador e no celular,Davyd Moraes,fa450c70-2459-4012-b0bb-85f89af36e09
2025-10-21 17:56:58,5,top,ronaldo lima,2e977a16-d96d-4abb-9088-b9b9a1beee2c
2025-10-21 17:48:29,5,💚,Alexandre Caetano de Paiva,99fd8bdb-514f-4d34-9fc2-aa728a6c73f0
2025-10-21 17:41:36,5,recomendo,Alex Felix,42792bd9-82cc-447f-a827-007f0d94ca73
2025-10-21 17:36:53,5,Marcos Viana se você não gostou então porque você deu cinco estrelas,Marcos Guimarães,c21ac4b9-469b-4661-a07d-3de2870dd08f
2025-10-21 17:24:36,5,eu gosto muito nao demora muito para achar as músicas que procuramos,Rita de Cassia de Lima De lima,a82fa210-2127-46f6-8406-1b14e95dfca8
2025-10-21 17:22:23,2,"O aplicativo em si é muito bom, mas agora tem coisas que realmente não dá. Eu tenho MUITA coisa pra reclamar, como: os anúncios, que a cada 3 músicas tem um anúncio, e não só isso, às vezes eles colocam uns 5 anúncios de uma vez . Só podemos escolher a música que quisermos ouvir por um certo período, porque depois desse período é obrigatório fazer um plano Premium. Não tem mais como pular anúncios depois dos 15 segundos... Enfim, esse app tá HORRÍVEL, melhorem imediatamente.",Alicia Cunha,17b855e6-2e5e-4b05-9107-eb00e0ec6527
2025-10-21 17:21:23,1,o Spotify umilha agente que não tem condições para comprar o prêmio e é muito limitado para escutar música nele,João Eduardo Inácio de menezes,ca0d7d93-aadf-4611-9a34-a66a182c95b0
2025-10-21 17:20:20,4,poderia faz e pacote para amigos,Papis Mec,8331dc78-a478-4c17-bd56-d25ae591f98c
2025-10-21 17:07:08,5,muito bom,motoromi,072f7491-0d22-4c13-bacb-f507e4894536
2025-10-21 16:58:44,5,e um ótimo aplicativo de música de vez em quando vem umas promoções no prêmio que vale muito a pena recomendo,Matheus Henrique Gomes Vieira,ab4ce5c7-3de0-4f6f-9ec1-62edf8a91756
2025-10-21 16:58:40,5,bacana,Rafael Oliveira,eb0667ee-32af-46e4-a94d-7ba421e65d14
2025-10-21 16:51:18,5,excelente APP,Will e família,9e7ca2eb-aa90-4af7-add3-00a6e945c464
2025-10-21 16:40:36,5,Th amzing,Douglas Sampaio,e19b0b0f-6512-4be3-81af-9c873b5c247b
2025-10-21 16:37:14,5,✨✨✨✨✨,Ronaldy Costa,81db9885-c9ae-4051-8983-ea10f8999055
2025-10-21 16:32:26,5,Ãmooo,Ana Vitória Medeiros da Silva Medeiros,277aeed6-2276-4969-8c7e-8d47699c9431
2025-10-21 16:01:42,3,"2 eu não , vou e'7e,l2 isso w 2s25,z5€••",joão Neto,69d3a635-3aad-4080-8b42-250af301ef7e
2025-10-21 15:51:50,5,muito bom,Gui Amarodasilva,cff2db4c-d7ed-40e8-b9e4-9809582ac2ae
2025-10-21 15:35:49,1,Só aumentam as mensalidades. Um Absurdo. Você baixa podcasts e não reproduzem todos. Sempre tem um erro ou outra coisa pra piorar.,marcos fbena,323e153a-c1c7-4121-8cb6-5f77de274ed4
2025-10-21 15:28:21,5,"muito bom, sempre uso quando saio pra jogar futebol, e jogar no celular",Cristyan Silva,c8081de0-0017-4c76-9786-e5c033a4f001
2025-10-21 15:26:44,5,muito bom gostei muito,Denison Silva,ed283e98-426f-49fe-881f-3624fed8f5cc
2025-10-21 15:20:24,5,amoo,Adriele Bomfim,72a5c3a6-13ed-4724-a0f6-ac61e2e3d35f
2025-10-21 15:16:29,5,show,Douglas de Souza,2300664f-34e1-415f-9750-f8dfa78ef642
2025-10-21 15:09:05,5,muito bom viu gente 😊,Rita Maria,294d344c-1680-44a7-b919-3da2aec04c05
2025-10-21 15:06:25,5,Para diversão e também para meus estudos ...amo!,Raquel Felix,ed8448bc-3c64-4922-8743-00ef0fbc1bcd
2025-10-21 14:51:46,3,"Acho a versão Premium do app muito boa, mas com a última atualização as músicas não estão sendo salvas corretamente nas playlists. Quando seleciono mais de uma playlist, a música só fica salva na primeira que eu selecionar, enquanto as restantes não salvam.",Cadu Maciel,3ab92874-5104-41fc-8370-775f27c692ce
2025-10-21 14:51:21,5,muito bem,Pimika Rocha,83c92388-db2e-4a37-8e37-8a4936710ff8
2025-10-21 14:50:13,5,muito bom otimo,Edgar Ramos,cfa3fd38-ffee-4eb5-a741-5bbb9f74898e
2025-10-21 14:47:46,5,Excelente!,RAQUEL DIAS,3cdd839b-5223-471e-bc01-f2c37b68caac
2025-10-21 14:47:22,5,Perfeito!! O grátis tem anúncios mas é tranquilo 😉,Sofia Madeira,4710e4c4-dadb-4ad2-8138-3f2c4f6b382c
2025-10-21 14:41:31,5,bom para pode ouvir música e e muito bom com poucos comercias,Kevin Henrique,76ae99a7-e633-4bd4-b7bb-ae3f3e6a2ffb
2025-10-21 14:38:09,5,o melhor app de música,Christian Evangelista,bda2ada8-7345-4bb5-bba7-265c5b2c6c57
2025-10-21 14:13:14,5,top demais 👏👏❤️,ROSE TRINDADE,5fce3a78-806b-4cbd-aca8-9b19ef27e617
2025-10-21 14:10:53,5,muito bom esse app,Elaine Cristine,41a6a575-ffa1-4c5f-b2fd-d666f8670c3f
2025-10-21 14:09:10,5,tooppppp,Tevez Ibramovik,77de999c-f8c5-4b82-abfa-dc3e09186f7c
2025-10-21 14:08:37,5,top,João Muginga,088b2b51-dd2d-4f85-ad8d-dc9d113ff707
2025-10-21 14:01:22,5,muito bom ajuda bastante,Glecia Silva,304c5dd4-c7f9-40b7-b4ad-20130196a163
2025-10-21 14:00:03,5,"É um app fácil de usar, e se conecta facilmente. amei❤️ a experiência de usar - lo. obrigado!🤝",Lucimar Fernandes Fernandes,a928bad3-4a68-4578-b40a-b991025514a0
2025-10-21 13:57:39,4,"muitos anúncios, mais so com o premim pra poder aproveitar sua vibe das músicas mais amo muito e faz muita parte da minha rotina.",Bianka Fernandes,c0d813ff-ec32-4175-a10f-b0896a006edf
2025-10-21 13:56:29,5,muito bom 👍 👍 👍,Elbiojoseluiz,eee96ad8-8ca5-4cc3-8bd4-c57fb46c8ef3
2025-10-21 13:55:23,1,colocou música má quando a minha mãe estava perto isto é uma denicia,Maria Luiza,ba3dd3f9-2045-4e13-87ff-a45d8e3a2882
2025-10-21 13:49:15,5,top demais 👏🏿👏🏿👏🏿,Glebiton aquino Aquino,1c2f39db-ae5c-47a1-806e-b9425e00c478
2025-10-21 13:45:54,5,adorei,Elizabette Reis,11ddff43-c21e-49b8-ad81-d1ff76dfec06
2025-10-21 13:43:28,2,"meu Spotify tá travando muito cara, e eu pago o Premium ainda, tipo eu coloco uma música e ele trava do nada e dps contínua tocando entre outros bugs",Maria Clara,30215cee-4178-41b8-beb3-f8a73fe367ae
2025-10-21 13:40:28,5,Simplesmente O MELHOR!!!,Rafael Valin de Souza,33fa9248-0e73-4769-9afb-9ca4bb2713fc
2025-10-21 13:37:05,5,bom app recomendo demais 👏👏👏👏,Richard Franca,58157c8f-0ce3-4ee9-8a9e-c50cde611d68
2025-10-21 13:34:28,3,"Acabei assinando o plano individual que seria 4 meses R$ 11,90 e cobraram R$ 23,90. Já comecei com uma experiência ruim. Na verdade, pensando em voltar para Deezer.",Denis Feliciano Sirqueira,405e81f7-ffa6-4a03-b885-6b3f7e1d1928
2025-10-21 13:26:39,5,"sensacional , gosto muito",CARLOS ALBERTO,e119a60a-1b54-4ea2-bd37-d25a40204b74
2025-10-21 13:25:17,5,muito bom,jonas deplay,429d41b2-7260-4c62-95d8-0f7fcb8972c1
2025-10-21 13:25:14,5,experiência única de viver com a melodia de todo mundo.,Agostinho Fernando Domingos António,0cae0ad1-51fd-4e0b-a482-4cd57e10c6c5
2025-10-21 13:23:16,5,bom demais...,Thi Montt,2112ebd1-c61f-4cac-97ec-254342d88f13
2025-10-21 13:22:01,5,muito bom nas músicas,Luciara Freire,206c9753-aa1b-491c-b7c7-b07dc3bee6bc
2025-10-21 13:18:00,3,"Utilizo o aplicativo há um bom tempo e recentemente usá-lo tornou-se difícil. Está lento, não responde aos comandos, é preciso reativar configurações diariamente, ou seja, não memoriza as preferências do usuário. Poderia ser melhor já que a assinatura está cada vez mais cara.",Jullyana França Soares,105839b8-2044-4e73-a808-60bc647b7de7
2025-10-21 13:18:00,5,ótimo aplicativo,Carolina Camargo Medeiros,2d12f728-c0f2-4c3f-8b70-3f82af33d4b5
2025-10-21 13:08:44,1,"o aplicativo em si é decente mas a versão gratuita é insuportável quase 3 minutos de ad entre as músicas que não dá pra pular, sem falar que uns 99% dos anúncios são sobre o próprio spotify QUE A GENTE JÁ ESTÁ USANDO, o unico benefício que o premium interessa é não ter anúncio e isso todo mundo ja sabe que tem, não precisa ficar anunciando no próprio app por mais tempo que uma música se não fosse esse inferno o app seria muito bom, nunca vou pagar por um app que inferniza os usuários gratuitos",Pedro Ribeiro,0a925ae5-0f7b-4283-985a-ebb04830ac34
2025-10-21 13:05:41,5,excelente 👏,Rovea Jud,66c19c46-959a-4ddf-9f0d-489bfc4dac2e
2025-10-21 13:05:39,4,"só n dou 5 estrelas pq tem anúncio, MTO anúncio mas é ótimo!!",mariana Fernandes,e93464c1-df64-4e26-96d4-7326c3f46cb2
2025-10-21 13:03:03,5,Estou gostando muito,Nayara Vieira,7def20f7-a28a-4a27-af4d-b5ca5816d599
2025-10-21 13:01:12,1,AGORA ATÉ PARA REPRODUZIR A MÚSICA NÃO TÁ INDO ANDROID 15 AFF. PAGUEI A VERSÃO PREMIUM MÁS ESTÃO REMOVENDO OS DOWNLOADS. DO QUE ADIANTA PAGAR MELHOR USAR A CRACKEADA DESSE JEITO UAI,Ronan Vieira,d1fdccf2-ea51-4a8f-815e-78f8cc32dcc0
2025-10-21 12:59:34,5,Excelente,Marcelo Montefusco,dc6b64ae-f66b-4bae-a606-ee59c75f3ba0
2025-10-21 12:55:35,4,"muito bom, porém dps de algum tempo ele para de tocar a música, aí tem q abrir o app e a música volta tudo",Patricia Rodrigues da Fonseca Silva,f6bcfd4b-52aa-4fd4-b5c7-d1b317282bc3
2025-10-21 12:52:38,5,amo demaissss,Ellen regina Vasconcelos,7a4f0d14-e7fe-4b7e-84e6-e26e821f511b
2025-10-21 12:37:16,5,muito bom o app obg por tudo vlw,Daniel Levi,49e1b77d-36cc-47b7-96f5-faf51a9742e9
